zone_code,category,english,local_text,phonetic,syllables,literal_meaning,cultural_note
bemba,greetings,How are you? / Greetings,Muli shani mukwai?,moo-lee shah-nee moo-kwhy,Mu-li sha-ni mu-kwai,"How are you, respectfully?",Polite general Bemba greeting; mukwai adds respect.
bemba,greetings,Good morning / How did you wake?,Mwaukeni mukwai?,mwah-oo-keh-nee moo-kwhy,Mwa-u-ke-ni mu-kwai,How did you wake?,Traditional morning greeting.
bemba,greetings,Good afternoon / How is the day?,Mwachibeni mukwai?,mwah-chee-beh-nee moo-kwhy,Mwa-chi-be-ni mu-kwai,How have you spent the day?,Polite daytime/afternoon greeting.
bemba,greetings,I am fine / Peaceful,Ndi bwino mukwai,n-dee bwee-noh moo-kwhy,Ndi bwi-no mu-kwai,I am well/fine.,Common polite response.
bemba,greetings,Thank you,Natotela mukwai,nah-toh-teh-lah moo-kwhy,Na-to-te-la mu-kwai,I thank you.,Standard polite gratitude.
bemba,greetings,Thank you very much,Natotela sana mukwai,nah-toh-teh-lah sah-nah moo-kwhy,Na-to-te-la sa-na mu-kwai,I thank you very much.,Used for strong appreciation.
bemba,greetings,Welcome (to visitors),Mwaiseni mukwai,mwah-ee-seh-nee moo-kwhy,Mwa-i-se-ni mu-kwai,You are welcome / come in.,Warm welcome to visitors.
bemba,greetings,Goodbye (to person staying / Stay well),Shalenipo bwino mukwai,shah-leh-nee-poh bwee-noh moo-kwhy,Sha-le-ni-po bwi-no mu-kwai,Remain well.,Said by the person who is leaving.
bemba,greetings,Goodbye (to person leaving / Go safely),Kabenipo bwino mukwai,kah-beh-nee-poh bwee-noh moo-kwhy,Ka-be-ni-po bwi-no mu-kwai,Go/be well.,Farewell to the person departing.
bemba,safari,The waterfall is magnificent,Icipoma ici cawama sana,ee-chee-poh-mah ee-chee chah-wah-mah sah-nah,I-ci-po-ma i-ci ca-wa-ma sa-na,This waterfall is very beautiful.,Natural tourist compliment.
bemba,safari,Lion / Elephant / Leopard,Inkalamo / Insofu / Ingwe,een-kah-lah-moh / een-soh-foo / een-gweh,In-ka-la-mo / In-so-fu / In-gwe,Lion / Elephant / Leopard,Wildlife vocabulary.
bemba,navigation,Where is the road to...?,Musebo uya ku... uli kwi?,moo-seh-boh oo-yah koo oo-lee kwee,Mu-se-bo u-ya ku u-li kwi,Where is the road that goes to...?,Useful when asking directions.
bemba,market,How much is this?,Ni shinga ici mukwai?,nee sheen-gah ee-chee moo-kwhy,Ni shi-nga i-ci mu-kwai,How much is this?,Polite market question.
bemba,market,Drinking water / Nshima (staple meal),Amenshi yakunwa / Ubwali,ah-mehn-shee yah-koon-wah / oo-bwah-lee,A-men-shi ya-ku-nwa / U-bwa-li,Drinking water / Nshima,Ubwali is the Bemba staple maize meal.
bemba,market,The food is very delicious,Icakulya ici cawama sana,ee-chah-kool-yah ee-chee chah-wah-mah sah-nah,I-ca-ku-lya i-ci ca-wa-ma sa-na,This food is very good.,Compliment for food.
bemba,emergency,Please help me,Nafweniko mukwai,nah-fweh-nee-koh moo-kwhy,Na-fwe-ni-ko mu-kwai,Please help me.,Polite request for assistance.
bemba,emergency,I need a doctor / clinic,Ndefwaya dokota / ukuya ku cipatala,n-deh-fwah-yah doh-koh-tah / oo-yah koo chee-pah-tah-lah,Nde-fwa-ya do-ko-ta / u-ya ku ci-pa-ta-la,I need/want a doctor / to go to a clinic or hospital.,Emergency/health phrase.
nyanja,greetings,How are you? / Greetings,Muli bwanji?,moo-lee bwahn-jee,Mu-li bwa-nji,How are you?,Respectful/plural general greeting.
nyanja,greetings,Good morning / How did you wake?,Mwauka bwanji? / Mwadzuka bwanji?,mwah-oo-kah bwahn-jee / mwah-dzoo-kah bwahn-jee,Mwa-u-ka bwa-nji / Mwa-dzu-ka bwa-nji,How have you woken?,Standard morning greeting.
nyanja,greetings,Good afternoon / How is the day?,Mwasewela bwanji? / Mwachoma bwanji?,mwah-seh-weh-lah bwahn-jee / mwah-choh-mah bwahn-jee,Mwa-se-we-la bwa-nji / Mwa-cho-ma bwa-nji,How is your afternoon/day?,Afternoon forms vary by community.
nyanja,greetings,I am fine / Peaceful,Ndili bwino,n-dee-lee bwee-noh,Ndi-li bwi-no,I am well.,Standard response.
nyanja,greetings,Thank you,Zikomo,zee-koh-moh,Zi-ko-mo,Thank you.,Standard Nyanja gratitude.
nyanja,greetings,Thank you very much,Zikomo kwambiri,zee-koh-moh kwahm-bee-ree,Zi-ko-mo kwa-mbi-ri,Thank you very much.,Strong appreciation.
nyanja,greetings,Welcome (to visitors),Mwalandiridwa,mwah-lahn-dee-ree-dwah,Mwa-la-ndi-ri-dwa,You are welcome.,Welcome to a visitor/guest.
nyanja,greetings,Goodbye (to person staying / Stay well),Mutsale bwino,moo-tsah-leh bwee-noh,Mu-tsa-le bwi-no,Remain well.,Said to the person staying.
